음식,총가격,인원구성,요일 및 시간,날씨
"오징어덮밥, 계란말이김밥, 멸추김밥",18500,여(23) 여(25),2023-09-06 11:56:00,맑음
"생선까스, 치즈김밥, 소고기주먹밥, 김치찌개, 오므라이스",32000,여(34) 남(32) 남(55) 남(39),2024-09-09 00:11:00,맑음
"날치알주먹밥, 참치와사비김밥, 육개장, 비빔국수, 참치와사비김밥",29000,남(21) 남(55) 남(21) 남(15),2023-04-06 15:01:00,비
"멸치주먹밥, 참치덮밥, 멸치주먹밥, 오징어덮밥, 멸추김밥",28500,남(25) 여(18) 여(35) 남(49),2024-03-27 13:56:00,흐림
"비빔국수, 얼큰해물우동",15500,여(29),2023-05-07 15:07:00,맑음
"날치알김밥, 콩국수",13000,여(47) 여(49),2024-08-13 22:23:00,맑음
참치덮밥,7500,여(27),2024-07-27 09:40:00,맑음
"김치볶음밥, 치즈라볶이, 비빔밥, 멸추김밥, 참치와사비김밥, 날으는 김밥",33500,여(49) 여(18) 여(46) 여(20) 여(52),2024-08-12 20:26:00,눈
"돈까스김밥, 참치비빔밥, 멸치주먹밥, 새우튀김김밥, 치즈돈까스",31000,여(26) 여(51) 여(55) 남(59),2023-04-11 21:58:00,흐림
"김치찌개, 고기만두",11000,남(54) 여(36),2023-04-02 23:26:00,맑음
"된장찌개, 참치찌개, 라면, 된장찌개, 김치라면",31000,여(32) 남(57) 여(60) 남(51),2024-09-18 07:54:00,흐림
"멸치주먹밥, 계란말이김밥",9500,여(28) 여(19),2024-01-27 04:06:00,맑음
"떡볶이, 오뎅",9000,남(45),2024-06-20 09:21:00,맑음
"날으는 김밥, 계란말이김밥, 땡초진미김밥, 육개장, 참치순두부찌개, 소고기주먹밥",33500,남(20) 남(27) 남(26) 남(37) 남(31),2024-05-09 10:26:00,맑음
"멸추김밥, 잔치국수, 참치찌개, 멸치주먹밥",23000,남(31) 여(59) 여(42),2023-05-01 00:03:00,흐림
"얼큰해물우동, 날치알주먹밥, 비빔국수, 치즈떡볶이, 참치주먹밥, 김치볶음밥",36000,남(14) 남(60) 남(18) 남(57) 남(32),2024-09-17 16:20:00,맑음
"새우튀김김밥, 떡볶이, 라면, 계란말이김밥, 날치알주먹밥",23500,남(49) 남(16) 남(19) 여(24),2024-04-01 18:40:00,맑음
"날치알김밥, 멸치주먹밥",9000,남(44) 남(38),2024-04-24 17:27:00,비
오징어덮밥,8000,남(56),2024-09-02 11:10:00,흐림
"육개장, 라볶이, 날치알김밥, 부대찌개, 새우볶음밥, 소고기김밥",38000,남(12) 여(25) 남(15) 여(58) 여(24),2023-07-28 08:28:00,맑음
"소고기주먹밥, 부대찌개, 부대찌개, 멸치주먹밥, 생선까스",33500,여(15) 여(23) 남(16) 남(45),2023-03-25 04:28:00,비
"오징어덮밥, 라볶이, 소고기주먹밥, 순두부찌개",24000,남(36) 여(39) 여(57),2023-05-01 13:57:00,맑음
"돈까스, 날치알주먹밥, 얼큰해물라면, 비빔밥",29000,여(45) 남(23) 여(51),2023-06-10 17:41:00,맑음
돈까스,9500,여(20),2023-11-27 08:56:00,맑음
참치주먹밥,4000,남(43),2023-11-19 17:03:00,눈
"생선까스, 생선까스, 김치찌개, 오뎅",30500,남(29) 여(51) 남(21) 남(36),2023-09-20 03:27:00,맑음
"돈까스, 군만두, 참치찌개, 순두부찌개",27500,여(42) 남(58) 남(24),2023-12-23 16:23:00,흐림
"떡라면, 참치주먹밥, 참치찌개",16500,남(36) 남(24) 남(15),2024-01-19 05:35:00,맑음
"라면, 날으는 김밥",8000,여(30),2024-04-21 17:05:00,흐림
"참치찌개, 김치볶음밥, 부대찌개, 소고기주먹밥",26000,남(27) 여(19) 여(49) 여(27),2023-05-31 01:58:00,맑음
잔치국수,7000,여(18),2024-06-13 04:16:00,맑음
"계란말이김밥, 참치김밥, 부대찌개, 오뎅, 치즈떡볶이, 오징어덮밥",36000,남(16) 여(43) 남(22) 남(19) 여(11),2024-03-17 03:49:00,맑음
"날치알주먹밥, 돈까스김밥, 날으는 김밥",12500,남(16) 여(49),2023-05-15 08:59:00,흐림
"참치주먹밥, 참치덮밥",11500,여(41) 남(26),2024-10-18 21:30:00,맑음
"치즈김밥, 참치비빔밥",12000,남(55) 남(60),2024-09-01 05:52:00,맑음
"참치비빔밥, 김치볶음밥, 참치김밥, 멸치주먹밥, 오므라이스, 날치알김밥",35000,여(54) 여(56) 남(45) 여(35) 여(48),2024-07-30 12:34:00,맑음
"날치알주먹밥, 땡초진미김밥, 제육덮밥, 된장찌개",23000,여(57) 여(24) 여(12),2023-11-11 09:00:00,흐림
"날치알김밥, 떡국, 소고기주먹밥, 참치비빔밥, 날치알주먹밥",27500,남(57) 남(17) 여(23) 여(17),2023-03-02 14:56:00,비
"소고기주먹밥, 오뎅",8500,여(57) 여(37),2024-10-10 17:51:00,눈
"김치만두, 콩국수",12000,남(39) 여(25),2024-04-21 06:48:00,맑음
"날치알김밥, 비빔국수, 된장찌개, 참치찌개, 돈까스김밥",31000,남(22) 남(17) 여(23) 남(53),2024-09-17 03:39:00,눈
"된장찌개, 오불덮밥, 부대찌개",23000,여(14) 여(37) 여(36),2024-08-31 17:58:00,맑음
"순두부찌개, 날치알주먹밥",11000,남(20) 남(44),2023-05-29 09:20:00,흐림
"돈까스, 멸치주먹밥, 계란말이김밥, 소고기주먹밥, 치즈김밥",27500,여(12) 여(55) 남(44) 남(48) 여(52),2023-05-04 07:57:00,맑음
"치즈떡볶이, 얼큰해물우동",14000,남(35),2024-06-23 14:53:00,맑음
"날치알주먹밥, 소고기주먹밥, 떡라면, 참치와사비김밥",18500,여(41) 남(54) 여(60),2024-04-28 05:11:00,맑음
"콩국수, 생선까스, 뚝배기불고기",25500,여(52) 남(28),2023-10-14 02:19:00,흐림
"오므라이스, 날치알주먹밥, 소고기주먹밥",15000,여(20) 여(26),2023-10-02 05:06:00,맑음
"참치비빔밥, 멸치주먹밥, 참치순두부찌개, 우동, 제육덮밥, 비빔국수",39000,남(30) 남(13) 여(30) 남(56) 여(23),2024-05-08 09:35:00,맑음
"참치주먹밥, 참치순두부찌개, 돈까스, 멸치주먹밥",25000,여(59) 여(11) 남(25) 남(11),2024-07-29 13:12:00,맑음
"멸치주먹밥, 순두부찌개",11000,남(29) 남(10),2023-06-20 14:49:00,흐림
"날치알주먹밥, 날치알주먹밥, 계란말이김밥",13500,여(56) 여(42) 여(38),2023-11-11 14:18:00,맑음
"소고기주먹밥, 날치알주먹밥, 날치알주먹밥, 부대찌개, 날치알주먹밥, 참치덮밥",31500,여(53) 남(48) 여(28) 여(36) 남(46),2023-03-01 08:48:00,맑음
"김치찌개, 날으는 김밥, 돈까스김밥",15500,여(34) 남(20),2023-08-12 14:01:00,눈
"치즈라면, 날치알주먹밥, 멸추김밥, 소고기김밥",19500,여(46) 남(38) 남(26),2024-04-18 15:52:00,비
제육덮밥,7000,여(59),2023-09-12 07:22:00,맑음
"새우볶음밥, 멸치주먹밥",11000,남(24),2024-06-28 01:30:00,맑음
"김치만두, 참치찌개, 오므라이스",18000,여(54) 여(44),2024-03-11 15:29:00,맑음
"육개장, 잔치국수, 참치주먹밥",19000,남(30) 남(26),2023-08-10 01:36:00,눈
"날치알주먹밥, 라볶이, 된장찌개",16000,여(10) 남(20) 여(35),2023-09-27 16:51:00,맑음
"참치찌개, 육개장, 치즈돈까스, 소고기주먹밥, 새우튀김김밥",33500,여(41) 남(15) 남(28) 여(20),2023-10-27 12:27:00,맑음
얼큰해물라면,8500,여(50),2024-08-05 07:03:00,맑음
"뚝배기불고기, 소고기주먹밥, 뚝배기불고기, 날으는 김밥",23500,여(16) 여(56) 남(26),2024-08-30 10:27:00,맑음
"땡초진미김밥, 계란말이김밥, 계란말이김밥",16000,남(43) 남(46),2023-03-07 11:29:00,맑음
"날치알주먹밥, 소고기주먹밥, 떡만두국, 돈까스김밥, 잔치국수",28000,여(25) 여(51) 여(34) 남(21) 남(15),2023-06-25 15:06:00,비
"라면, 참치비빔밥",12000,여(17) 남(30),2023-09-09 19:19:00,맑음
"날치알김밥, 뚝배기불고기, 떡국, 새우튀김김밥",25000,남(25) 여(51) 여(13),2023-03-29 13:48:00,맑음
"참치김밥, 떡라면, 김치만두, 새우볶음밥",21000,남(14) 여(36) 남(29) 여(10),2024-04-15 11:27:00,맑음
"날치알주먹밥, 계란말이김밥, 오징어덮밥, 된장찌개, 소고기김밥",29500,남(34) 여(18) 남(59) 여(50) 남(30),2024-06-15 02:02:00,눈
"오뎅, 멸치주먹밥",8500,남(33) 여(22),2024-08-01 19:05:00,맑음
"오징어덮밥, 소고기주먹밥, 소고기주먹밥, 소고기김밥, 오징어덮밥, 비빔국수",36000,남(18) 여(52) 남(45) 남(10) 여(26),2024-08-22 17:24:00,맑음
군만두,4000,남(32),2023-10-04 21:54:00,맑음
참치찌개,7000,여(37),2024-01-04 12:03:00,맑음
"군만두, 돈까스, 날치알주먹밥, 고기만두, 소고기주먹밥, 날으는 김밥",29000,여(51) 여(17) 여(58) 남(36) 여(15),2024-07-13 07:43:00,맑음
"참치와사비김밥, 멸치주먹밥, 치즈김밥",13500,여(27) 여(21) 여(56),2023-04-15 19:45:00,맑음
"된장찌개, 날치알주먹밥, 순두부찌개, 참치주먹밥, 얼큰해물라면",30500,여(53) 여(15) 여(26) 남(51),2024-01-19 23:28:00,흐림
떡라면,5500,남(43),2023-07-07 22:09:00,맑음
"돈까스김밥, 떡만두국, 순두부찌개, 계란말이김밥, 고기만두",29500,여(29) 남(26) 남(59) 남(11) 여(56),2023-12-09 03:23:00,눈
"치즈떡볶이, 멸치주먹밥, 소고기주먹밥, 참치찌개",20500,남(40) 남(60) 여(58) 여(27),2023-09-08 15:05:00,눈
"참치찌개, 뚝배기불고기, 된장찌개",22000,남(25) 여(17),2023-05-01 17:14:00,눈
"치즈라볶이, 순두부찌개, 오불덮밥",21000,여(12) 여(41),2024-02-10 11:08:00,눈
"오므라이스, 치즈돈까스, 참치김밥, 소고기주먹밥, 새우볶음밥, 치즈라면",37500,여(48) 남(24) 여(12) 여(57) 남(44),2023-10-07 16:26:00,비
"참치비빔밥, 소고기김밥, 땡초진미김밥, 김치볶음밥, 쫄면",31500,여(55) 남(28) 여(48) 남(47),2024-08-28 02:23:00,맑음
"참치주먹밥, 참치주먹밥, 라면, 땡초진미김밥, 김치만두",21500,남(56) 여(36) 여(21) 남(51),2024-02-21 11:19:00,맑음
"부대찌개, 만두라면, 치즈떡볶이, 치즈돈까스, 부대찌개",36500,여(12) 여(21) 남(60) 남(19) 남(14),2023-11-16 20:25:00,맑음
"고구마돈까스, 치즈김밥, 소고기김밥, 김치찌개, 뚝배기불고기, 새우볶음밥",41000,남(16) 여(40) 여(18) 여(28) 남(39),2024-08-29 16:56:00,흐림
"소고기주먹밥, 잔치국수, 고기만두",15000,여(45) 여(30),2024-10-02 01:39:00,눈
치즈라볶이,6000,여(53),2023-10-10 15:36:00,맑음
"육개장, 부대찌개, 멸치주먹밥, 치즈떡볶이, 참치순두부찌개",33000,남(25) 여(25) 남(48) 남(30),2024-05-18 22:57:00,맑음
날치알주먹밥,4000,여(39),2023-05-16 20:25:00,비
"계란말이김밥, 떡국",12500,남(12) 여(27),2024-06-30 10:45:00,맑음
"고구마돈까스, 참치와사비김밥, 오므라이스, 참치찌개, 고구마돈까스",38000,남(24) 남(53) 여(38) 남(14) 여(24),2024-04-20 00:07:00,흐림
"치즈라면, 제육덮밥, 참치주먹밥, 참치순두부찌개, 날으는 김밥, 참치순두부찌개",35000,여(35) 여(36) 여(36) 남(14) 남(27),2024-09-26 07:06:00,맑음
"떡라면, 멸치주먹밥",9500,여(16),2023-06-14 22:04:00,비
"소고기주먹밥, 땡초진미김밥, 멸치주먹밥",13000,여(19) 남(46),2023-04-12 09:40:00,맑음
"날치알주먹밥, 뚝배기불고기, 떡국",19000,남(27) 남(38) 여(47),2023-07-06 10:44:00,맑음
"날치알주먹밥, 날치알주먹밥, 김치라면",13500,여(19) 남(14),2023-07-31 05:22:00,맑음
"참치주먹밥, 돈까스김밥, 날치알주먹밥, 순두부찌개, 제육덮밥",27000,남(59) 여(23) 남(55) 남(24),2023-12-21 06:31:00,흐림
"쫄면, 참치순두부찌개, 뚝배기불고기, 새우볶음밥",29500,남(53) 남(43) 여(22),2024-05-15 00:50:00,맑음
"부대찌개, 부대찌개, 김치라면, 잔치국수, 뚝배기불고기",36500,남(53) 여(50) 남(12) 여(25) 남(31),2023-11-03 06:42:00,맑음
"참치주먹밥, 콩국수, 부대찌개, 날치알김밥",25000,여(34) 남(29) 여(26),2023-04-27 07:48:00,맑음
"참치덮밥, 새우튀김김밥, 오뎅",17000,남(48) 여(35) 남(45),2023-09-16 15:24:00,맑음
"돈까스, 참치김밥, 된장찌개",21000,여(60) 여(31) 여(32),2024-10-04 23:18:00,눈
"떡볶이, 참치순두부찌개, 참치비빔밥, 돈까스, 계란말이김밥, 육개장",42500,남(60) 남(50) 여(52) 여(27) 남(17),2024-03-28 11:39:00,흐림
"계란말이김밥, 콩국수, 뚝배기불고기, 고구마돈까스, 멸치주먹밥",35000,남(34) 남(33) 남(55) 남(44) 여(16),2024-05-05 21:50:00,눈
"날으는 김밥, 소고기김밥",8500,남(44) 남(14),2024-06-18 14:41:00,맑음
"참치비빔밥, 계란말이김밥, 김치찌개",20000,남(16) 남(14) 남(34),2024-10-18 15:09:00,맑음
"날치알주먹밥, 얼큰해물라면, 떡만두국, 오불덮밥",28500,남(32) 여(46) 남(57) 남(52),2024-08-09 18:00:00,눈
"생선까스, 우동, 군만두, 멸치주먹밥, 날치알주먹밥",27500,여(14) 남(59) 여(26) 남(42) 남(18),2023-09-26 17:56:00,눈
"돈까스, 순두부찌개, 된장찌개, 날으는 김밥",27000,남(56) 여(50) 남(58) 남(51),2024-09-26 05:10:00,비
"순두부찌개, 부대찌개, 돈까스",24500,여(26) 여(22) 남(41),2024-04-29 00:20:00,흐림
참치와사비김밥,5000,남(36),2023-03-01 11:13:00,맑음
"참치김밥, 김치찌개, 계란말이김밥",17000,남(42) 여(33),2024-02-24 01:44:00,맑음
"된장찌개, 땡초진미김밥",12000,남(58),2023-06-23 23:33:00,흐림
"뚝배기불고기, 날치알김밥, 날치알김밥, 제육덮밥",25000,여(25) 남(34) 여(28),2023-07-02 11:57:00,맑음
"돈까스, 소고기주먹밥, 김치찌개, 잔치국수, 만두국, 참치주먹밥",38500,남(38) 여(18) 여(19) 남(48) 여(28),2023-05-08 10:55:00,흐림
"육개장, 라면, 참치찌개, 오불덮밥",27500,여(48) 여(21) 남(11),2023-05-22 17:50:00,맑음
"김치볶음밥, 비빔밥, 생선까스, 뚝배기불고기",31500,남(30) 여(15) 남(20) 남(15),2024-02-14 12:17:00,눈
오므라이스,7000,남(44),2024-10-20 18:51:00,흐림
"순두부찌개, 된장찌개",14000,여(26) 여(25),2023-06-14 06:33:00,흐림
"멸치주먹밥, 오므라이스",11000,여(53) 여(22),2024-02-03 13:46:00,맑음
"새우튀김김밥, 치즈돈까스",14500,여(29) 남(22),2024-03-20 06:08:00,눈
"된장찌개, 부대찌개, 오뎅",19500,여(13) 남(52) 남(28),2024-10-28 10:30:00,흐림
"순두부찌개, 멸치주먹밥",11000,남(46) 남(59),2024-02-12 08:21:00,비
"비빔국수, 얼큰해물우동",15500,여(15) 남(13),2024-08-09 20:15:00,흐림
"날치알주먹밥, 참치주먹밥, 날치알김밥, 치즈돈까스",22500,남(15) 남(52) 남(17) 여(49),2023-04-13 14:53:00,맑음
"멸추김밥, 날치알주먹밥, 육개장, 멸치주먹밥",21000,여(21) 남(12) 여(56) 여(11),2024-08-19 23:21:00,맑음
"부대찌개, 참치와사비김밥, 김치만두, 날치알김밥",22000,남(51) 남(34) 남(15),2023-11-16 11:40:00,흐림
"참치순두부찌개, 순두부찌개, 만두국, 소고기김밥",26500,여(33) 여(22) 여(54) 여(47),2024-04-13 16:57:00,맑음
"계란말이김밥, 날으는 김밥, 돈까스김밥, 소고기주먹밥, 참치김밥, 라볶이",27500,남(51) 여(60) 남(37) 여(17) 남(59),2023-09-22 13:10:00,흐림
"멸추김밥, 김치찌개, 된장찌개",19000,남(48) 남(33) 남(45),2024-09-17 00:13:00,맑음
"새우튀김김밥, 계란말이김밥, 날치알주먹밥, 생선까스, 소고기김밥",29000,여(32) 여(34) 여(39) 여(40) 남(13),2024-10-14 02:35:00,비
"오므라이스, 멸치주먹밥, 육개장, 멸치주먹밥",23000,남(11) 남(34) 여(17) 남(46),2023-03-01 21:51:00,흐림
"비빔밥, 생선까스, 멸치주먹밥",20500,남(52) 여(46) 남(40),2024-04-10 18:40:00,흐림
"뚝배기불고기, 김치볶음밥, 떡볶이, 돈까스김밥, 떡만두국, 뚝배기불고기",40500,여(23) 여(15) 여(29) 남(17) 남(53),2023-09-14 02:49:00,맑음
"멸치주먹밥, 콩국수, 우동, 참치찌개, 참치주먹밥, 돈까스김밥",34000,여(21) 남(50) 여(42) 여(60) 여(40),2023-03-03 18:37:00,비
참치순두부찌개,7500,남(46),2023-06-13 07:16:00,맑음
"돈까스김밥, 새우튀김김밥",10000,여(23) 여(39),2023-07-15 02:49:00,흐림
"참치덮밥, 치즈라볶이, 순두부찌개",20500,여(24) 여(22) 여(11),2023-10-25 06:49:00,맑음
"치즈김밥, 돈까스, 참치비빔밥, 참치비빔밥",29000,남(12) 남(28) 남(59),2023-05-22 13:49:00,맑음
"뚝배기불고기, 치즈라볶이, 새우볶음밥",21000,남(45) 여(10),2023-11-07 16:35:00,비
"참치주먹밥, 소고기주먹밥, 오징어덮밥, 소고기김밥, 멸치주먹밥",25000,남(25) 여(42) 여(13) 여(44),2024-02-28 06:46:00,맑음
"우동, 참치비빔밥",13500,여(45),2023-03-22 19:25:00,맑음
"돈까스김밥, 멸치주먹밥, 참치와사비김밥, 육개장",22000,남(48) 남(56) 남(18),2024-06-20 14:35:00,눈
"떡볶이, 된장찌개, 참치와사비김밥",16500,여(27) 여(24) 남(59),2023-09-05 00:15:00,눈
"계란말이김밥, 참치주먹밥, 참치덮밥",17000,여(21) 남(51),2023-05-30 15:21:00,맑음
"참치찌개, 치즈라볶이, 멸치주먹밥",17000,남(47) 남(25),2023-12-06 20:59:00,맑음
"멸치주먹밥, 참치주먹밥, 떡라면",13500,남(47) 남(21),2023-06-14 13:27:00,맑음
떡만두국,8000,남(25),2024-04-18 07:46:00,비
"생선까스, 부대찌개, 돈까스, 고기만두",31000,남(17) 여(42) 여(26),2024-08-24 11:41:00,눈
"쫄면, 고구마돈까스, 육개장, 김치찌개, 김치볶음밥",38500,남(38) 여(33) 남(28) 여(10),2023-09-19 12:12:00,흐림
소고기주먹밥,4000,남(10),2024-01-06 01:51:00,흐림
"오징어덮밥, 날치알주먹밥, 순두부찌개, 참치와사비김밥, 쫄면",31000,남(24) 여(27) 남(33) 여(19),2024-06-24 23:01:00,흐림
"돈까스, 군만두",13500,남(33),2024-01-17 08:39:00,맑음
"라면, 소고기주먹밥, 만두국, 참치김밥, 돈까스김밥",25000,남(18) 남(14) 여(60) 남(38),2024-03-09 00:16:00,눈
"김치찌개, 멸추김밥",12000,여(11),2023-03-04 07:02:00,흐림
"제육덮밥, 멸치주먹밥",11000,여(13),2024-08-28 02:25:00,맑음
"소고기주먹밥, 제육덮밥, 오징어덮밥, 오므라이스, 오불덮밥",34000,여(16) 남(30) 여(29) 남(32),2024-08-03 07:40:00,비
"날치알주먹밥, 돈까스, 참치주먹밥",17500,여(56) 남(32),2023-04-27 08:15:00,맑음
"오징어덮밥, 날으는 김밥, 오므라이스",18500,남(38) 남(24),2024-01-10 01:22:00,맑음
"고구마돈까스, 떡국, 군만두",20500,여(40) 여(28) 여(50),2024-05-25 14:15:00,맑음
"멸추김밥, 새우튀김김밥, 참치와사비김밥, 오불덮밥",23000,여(27) 여(47) 남(17),2024-08-17 01:12:00,맑음
"된장찌개, 새우튀김김밥, 오므라이스, 돈까스김밥, 순두부찌개",31000,여(31) 남(21) 여(51) 남(21) 여(17),2024-04-02 21:32:00,맑음
"새우튀김김밥, 치즈라면, 소고기김밥, 새우튀김김밥, 부대찌개",28500,여(20) 남(49) 여(30) 여(20) 남(30),2024-10-23 12:32:00,눈
"참치주먹밥, 멸치주먹밥",8000,여(19) 남(44),2024-04-14 09:11:00,맑음
"돈까스김밥, 육개장, 멸추김밥, 라볶이",23000,남(57) 여(43) 여(33),2023-07-25 02:09:00,비
"멸치주먹밥, 소고기주먹밥, 돈까스",17500,여(48) 남(17) 남(30),2024-04-10 22:52:00,흐림
"계란말이김밥, 오불덮밥, 참치찌개",20500,남(29) 남(31),2023-09-02 12:03:00,맑음
"참치와사비김밥, 오불덮밥",13000,여(37) 남(54),2024-03-26 15:09:00,비
"비빔밥, 참치순두부찌개, 멸치주먹밥, 부대찌개, 참치비빔밥, 육개장",42000,남(45) 여(35) 남(60) 여(44) 남(28),2024-04-22 23:45:00,맑음
생선까스,9500,여(13),2023-12-20 05:52:00,맑음
"뚝배기불고기, 참치주먹밥, 콩국수",20000,남(37) 남(14) 여(35),2024-08-14 09:58:00,맑음
참치비빔밥,7500,남(48),2023-06-08 19:47:00,비
"치즈돈까스, 치즈돈까스, 날치알주먹밥",23000,남(53) 남(39),2023-07-25 21:29:00,맑음
"날치알주먹밥, 제육덮밥, 참치찌개, 치즈김밥, 떡국, 김치라면",35000,여(47) 남(12) 여(28) 여(36) 여(33),2024-08-05 20:57:00,맑음
